Date,Close/Last,Volume,Open,High,Low
2021-10-26,88.42,483509,88.75,89.78,87.55
2021-10-27,89.08,644703,88.76,90.2,87.4
2021-10-28,82.0,2537740,86.59,87.72,75.12
2021-10-29,80.05,817820,81.31,82.77,78.43
2021-11-01,85.68,2078082,81.0,87.85,80.67
2021-11-02,82.6,580418,85.0,85.0,81.33
2021-11-03,82.86,912372,80.0,84.158,78.94
2021-11-04,79.79,849233,83.17,83.31,79.2
2021-11-05,81.75,601304,82.18,83.82,81.61
2021-11-08,78.77,519928,81.62,82.55,78.55
2021-11-09,79.85,672111,79.68,80.79,78.6
2021-11-10,76.95,799791,75.93,79.57,75.93
2021-11-11,73.69,1028557,78.95,78.95,71.72
2021-11-12,71.84,640425,73.96,73.96,70.635
2021-11-15,70.61,663893,72.12,72.3,69.77
2021-11-16,69.06,973097,70.28,70.68,67.86
2021-11-17,68.95,777307,69.0,69.18,67.24
2021-11-18,68.45,657118,69.15,69.59,67.44
2021-11-19,67.61,564894,66.58,70.04,66.27
2021-11-22,67.38,554716,68.15,68.9,66.14
2021-11-23,65.98,641187,67.48,67.67,65.0
2021-11-24,65.76,509177,65.4,66.84,64.0
2021-11-26,65.3,615336,61.52,65.75,61.4
2021-11-29,63.95,1141254,66.52,66.52,62.73
2021-11-30,63.92,1492794,63.24,65.27,62.24
2021-12-01,59.99,1627794,65.81,66.86,59.46
2021-12-02,61.85,1821930,60.44,62.04,59.2
2021-12-03,59.1,2399562,62.18,62.18,57.92
2021-12-06,63.55,803505,59.61,64.24,58.091
2021-12-07,64.28,1034484,65.08,66.5,63.86
2021-12-08,64.94,680392,64.65,66.965,64.51
2021-12-09,62.96,535348,64.15,66.11,62.9
2021-12-10,63.08,621891,62.95,63.785,62.14
2021-12-13,59.75,686359,61.77,62.85,58.93
2021-12-14,58.21,994808,59.24,60.26,57.93
2021-12-15,59.86,1187793,57.88,60.465,56.84
2021-12-16,57.28,798881,61.12,61.8,56.79
2021-12-17,60.41,1349172,57.56,61.73,56.79
2021-12-20,58.49,569555,58.39,59.89,57.4
2021-12-21,61.85,1261534,59.29,62.03,58.91
2021-12-22,62.18,643475,61.49,63.39,61.16
2021-12-23,67.75,3273429,66.0,69.65,65.25
2021-12-27,67.18,775846,68.129,68.4,66.18
2021-12-28,66.01,558570,66.8,67.96,65.9
2021-12-29,65.6,1143708,65.64,66.6,65.26
2021-12-30,67.18,785947,65.27,70.66,65.021
2021-12-31,66.83,1646214,66.83,68.1093,65.83
2022-01-03,67.03,517744,67.37,70.59,66.451
2022-01-04,64.44,732255,67.38,68.085,64.305
2022-01-05,61.22,638104,64.79,65.17,60.97
2022-01-06,62.63,504557,61.18,63.69,60.23
2022-01-07,63.57,652294,62.39,65.07,61.425
2022-01-10,63.02,1147527,62.32,63.08,60.89
2022-01-11,64.08,443631,62.5,64.43,62.01
2022-01-12,62.27,605782,64.8,64.8,62.06
2022-01-13,61.51,465212,62.1,63.745,61.33
2022-01-14,61.3,717295,60.96,63.88,59.8
2022-01-18,60.91,893235,61.0,63.55,60.49
2022-01-19,58.67,810424,60.83,61.72,58.57
2022-01-20,57.77,780387,59.11,61.73,57.59
2022-01-21,56.1,882208,57.02,58.72,55.85
2022-01-24,59.31,1185154,54.49,59.51,53.08
2022-01-25,57.99,658949,58.34,59.81,57.15
2022-01-26,56.79,517321,58.48,60.67,56.33
2022-01-27,54.93,614462,58.11,59.42,54.15
2022-01-28,54.83,1196350,54.49,55.17,52.6
2022-01-31,57.7,1273566,54.28,57.81,53.74
2022-02-01,59.86,759694,58.29,60.14,57.57
2022-02-02,58.26,561284,59.4,59.4,56.705
2022-02-03,56.95,823938,57.8,59.83,56.49
2022-02-04,59.01,1383601,56.9,59.54,55.99
2022-02-07,60.76,541052,58.92,61.22,58.3
2022-02-08,62.15,623367,60.79,62.41,59.16
2022-02-09,64.13,828245,62.71,64.29,61.69
2022-02-10,63.09,1061546,62.96,65.48,62.26
2022-02-11,62.39,615735,63.5,64.44,61.735
2022-02-14,61.66,487233,62.38,63.55,61.44
2022-02-15,64.75,651510,63.3,65.05,62.62
2022-02-16,66.14,497724,63.9,66.53,62.66
2022-02-17,63.98,494537,65.5,66.21,63.4
2022-02-18,61.87,441495,63.29,64.07,61.7
2022-02-22,60.31,592617,60.66,62.23,59.715
2022-02-23,60.3,383863,61.4,62.34,60.21
2022-02-24,60.82,755277,57.33,61.25,56.35
2022-02-25,62.63,599582,61.23,62.64,59.21
2022-02-28,62.92,762740,61.83,63.405,61.39
2022-03-01,57.7,1560842,61.88,62.24,56.73
2022-03-02,62.06,2106045,64.0,68.8373,61.5303
2022-03-03,63.57,1400525,61.99,65.41,61.418
2022-03-04,59.4,869500,62.67,64.46,58.23
2022-03-07,52.9,1196594,59.83,59.93,52.48
2022-03-08,55.15,1087161,52.91,57.87,52.22
2022-03-09,57.71,486714,57.1,59.085,56.365
2022-03-10,60.09,1265902,58.15,60.565,56.77
2022-03-11,58.94,643597,60.37,61.44,58.86
2022-03-14,56.51,687791,59.44,59.44,55.69
2022-03-15,59.24,1294632,56.75,59.74,56.26
2022-03-16,61.98,830843,60.04,62.08,59.09
2022-03-17,61.44,793455,60.69,62.26,59.77
2022-03-18,62.16,1154735,60.34,62.33,57.0
2022-03-21,60.46,834897,61.05,61.42,59.37
2022-03-22,61.47,1791557,60.43,62.01,60.43
2022-03-23,59.02,758846,59.88,61.395,58.53
2022-03-24,60.84,346858,59.55,60.88,58.16
2022-03-25,59.49,365164,61.53,61.7566,58.75
2022-03-28,58.86,678042,59.26,60.34,57.83
2022-03-29,62.33,634399,59.7,62.655,59.69
2022-03-30,60.57,448996,61.62,62.07,59.59
2022-03-31,58.75,669306,60.74,61.23,58.74
2022-04-01,60.77,843865,59.26,61.12,58.81
2022-04-04,63.24,727308,60.77,64.22,60.21
2022-04-05,61.96,721183,63.13,63.83,60.56
2022-04-06,57.13,1120959,60.71,61.88,57.06
2022-04-07,57.09,1015194,56.68,57.8975,55.9
2022-04-08,57.55,627926,56.64,58.73,56.25
2022-04-11,57.21,658782,56.64,58.89,56.47
2022-04-12,57.66,535138,58.16,59.47,56.96
2022-04-13,59.29,589377,57.63,60.03,57.63
2022-04-14,59.59,861560,59.77,60.63,59.42
2022-04-18,58.68,787132,60.36,60.36,58.05
2022-04-19,62.69,748834,58.59,63.955,58.59
2022-04-20,61.85,591611,64.09,64.09,61.57
2022-04-21,59.62,606483,62.57,63.69,58.73
2022-04-22,58.71,477093,59.3,60.26,58.1
2022-04-25,60.99,978861,57.61,61.17,57.515
2022-04-26,57.38,854459,60.06,60.435,57.25
2022-04-27,56.75,452355,57.35,58.41,55.61
2022-04-28,58.07,515689,57.79,58.595,55.655
2022-04-29,56.06,408712,58.98,61.23,55.86
2022-05-02,58.11,500306,54.51,58.11,54.51
2022-05-03,58.83,629385,58.11,59.26,56.93
2022-05-04,59.0,859721,60.07,60.07,55.53
2022-05-05,55.18,1040688,57.61,58.5,53.87
2022-05-06,52.46,628091,54.52,55.09,51.63
2022-05-09,47.2,1486325,51.03,52.22,47.0
2022-05-10,47.66,1475633,47.86,50.32,46.35
2022-05-11,47.33,1213652,45.4,52.09,45.4
2022-05-12,48.67,864289,46.2,49.76,45.32
2022-05-13,51.53,886716,49.75,53.16,49.75
2022-05-16,48.24,1613793,50.89,51.8025,48.09
2022-05-17,52.76,1086772,53.65,53.665,50.27
2022-05-18,50.05,1014946,51.38,52.745,49.42
2022-05-19,49.61,1032691,49.46,51.4,49.425
2022-05-20,49.46,769520,50.46,50.46,47.16
2022-05-23,50.02,539480,50.11,50.551,48.72
2022-05-24,46.97,619383,48.93,49.66,46.03
2022-05-25,48.53,791953,46.8,49.43,45.94
2022-05-26,51.8,879141,49.03,52.025,49.02
2022-05-27,52.63,420352,51.91,53.045,51.05
2022-05-31,52.8,1625256,52.18,53.44,50.89
2022-06-01,53.45,560075,53.28,53.97,51.49
2022-06-02,54.71,1351588,53.25,55.97,52.09
2022-06-03,54.38,460736,54.17,54.55,53.17
2022-06-06,55.43,847870,55.22,56.56,54.06
