Date,Close/Last,Volume,Open,High,Low
2020-01-31,79.25,1571353,80.05,80.05,76.8
2020-02-03,86.25,2337667,80.22,86.31,79.87
2020-02-04,91.3,2340734,87.28,91.8989,86.62
2020-02-05,89.75,2031036,92.46,92.46,84.84
2020-02-06,91.06,1143044,90.1,93.32,89.39
2020-02-07,88.86,950959,90.05,90.37,87.91
2020-02-10,89.44,1685593,88.37,90.81,87.72
2020-02-11,85.8,1524537,89.79,90.24,84.24
2020-02-12,86.65,961696,86.61,87.43,85.075
2020-02-13,87.4,801952,86.0,88.06,85.58
2020-02-14,88.62,674579,87.54,89.11,87.09
2020-02-18,94.31,2140494,88.0,94.59,88.0
2020-02-19,106.78,3884426,95.1,109.49,93.9457
2020-02-20,108.81,3214852,106.45,115.23,104.5
2020-02-21,110.09,1185999,109.11,111.245,106.1
2020-02-24,107.1,1609929,104.89,108.38,104.62
2020-02-25,104.04,1319638,108.41,109.085,103.091
2020-02-26,101.56,2602121,103.31,105.41,100.28
2020-02-27,88.77,6717819,88.4,92.75,81.1
2020-02-28,82.91,4141785,84.06,85.01,78.6601
2020-03-02,82.36,2541949,83.37,86.181,79.0
2020-03-03,80.05,3139101,82.65,83.2,77.39
2020-03-04,82.45,1866827,81.91,82.55,78.4401
2020-03-05,74.55,3611200,80.19,81.6,73.49
2020-03-06,66.02,4383295,70.86,71.52,64.3101
2020-03-09,58.19,4655604,58.93,59.96,55.84
2020-03-10,62.77,3654577,61.06,63.12,55.45
2020-03-11,56.59,2697389,60.54,62.15,54.71
2020-03-12,45.13,4174058,50.52,53.18,44.5501
2020-03-13,50.92,3948217,51.48,51.48,41.12
2020-03-16,39.18,4508269,40.43,43.78,36.71
2020-03-17,40.61,6435366,40.6,43.0,32.87
2020-03-18,29.91,5928810,35.89,36.62,22.911
2020-03-19,30.01,8005616,26.56,31.97,22.16
2020-03-20,29.35,7899237,31.78,38.26,28.54
2020-03-23,35.8,6534240,28.68,36.86,26.35
2020-03-24,51.21,7069617,39.93,56.67,39.895
2020-03-25,62.51,8467623,53.17,66.36,52.23
2020-03-26,56.55,5451761,62.38,64.0,53.85
2020-03-27,49.04,3176268,52.06,52.92,47.52
2020-03-30,52.38,6248304,58.0,59.99,49.63
2020-03-31,55.09,4620247,51.47,57.5,51.47
2020-04-01,50.56,2500412,50.47,52.68,48.32
2020-04-02,46.61,3114098,49.02,49.99,45.01
2020-04-03,45.91,3034221,45.33,50.4089,44.001
2020-04-06,52.83,4343512,50.99,54.69,47.59
2020-04-07,55.53,4841616,57.6,61.51,53.21
2020-04-08,58.48,3095864,57.03,60.25,53.42
2020-04-09,61.35,6568839,62.36,70.83,60.01
2020-04-13,75.28,5442381,62.06,75.96,58.04
2020-04-14,84.08,6223923,78.0,86.46,76.55
2020-04-15,71.34,5648152,77.49,79.0,70.775
2020-04-16,71.22,2631056,72.34,74.49,68.97
2020-04-17,78.06,3954943,74.95,78.99,73.321
2020-04-20,80.3,2969593,73.94,82.25,73.8
2020-04-21,85.58,4097005,80.0,87.97,78.56
2020-04-22,82.67,1986663,86.12,88.68,81.58
2020-04-23,87.81,3130478,83.36,90.71,83.19
2020-04-24,92.24,2259963,88.52,94.11,86.05
2020-04-27,90.31,2212515,93.78,95.84,89.51
2020-04-28,82.96,4114594,94.26,94.26,82.55
2020-04-29,84.89,2282935,87.66,87.67,83.7901
2020-04-30,80.11,2404941,83.37,85.91,79.65
2020-05-01,76.0,2770388,77.97,78.4,71.72
2020-05-04,80.01,2410612,73.26,80.09,71.56
2020-05-05,86.0,3137409,82.0,88.18,80.21
2020-05-06,91.15,4269291,86.5,92.45,85.1097
2020-05-07,97.67,5074935,85.96,101.09,81.93
2020-05-08,100.09,4390171,96.61,109.3,95.67
2020-05-11,100.67,3301508,99.0,101.88,97.3701
2020-05-12,93.72,1907242,102.65,102.84,93.34
2020-05-13,89.9,2322030,94.74,97.45,88.14
2020-05-14,89.55,2707826,88.01,91.97,83.1001
2020-05-15,92.66,1574317,87.94,93.03,87.54
2020-05-18,98.59,2097409,97.85,101.65,97.0
2020-05-19,88.91,7114080,90.72,92.25,88.0401
2020-05-20,91.11,2045294,91.0,92.48,86.53
2020-05-21,94.74,1788987,91.54,96.2,90.25
2020-05-22,96.45,1318803,94.4,96.97,92.6
2020-05-26,99.19,1701115,100.75,103.49,98.9032
2020-05-27,96.14,2265820,100.18,100.99,92.31
2020-05-28,93.29,1622102,95.8,96.05,91.51
2020-05-29,92.98,2125318,93.52,95.5141,90.55
2020-06-01,91.85,1429564,92.53,94.84,91.53
2020-06-02,109.12,7148113,93.38,110.5,92.97
2020-06-03,107.39,2765552,108.38,112.4,106.12
2020-06-04,102.0,2577969,106.11,110.01,99.15
2020-06-05,115.87,3924311,107.0,116.6919,106.01
2020-06-08,113.64,2524955,117.935,118.64,108.75
2020-06-09,113.55,1504682,111.01,117.604,110.02
2020-06-10,118.8,2669743,116.39,122.69,113.17
2020-06-11,107.26,2062092,112.35,115.26,106.56
2020-06-12,111.21,1766702,113.0,115.54,107.84
2020-06-15,114.32,1136082,107.56,115.32,106.14
2020-06-16,118.03,1274055,121.65,122.085,114.5048
2020-06-17,118.96,1063318,118.0,121.2983,117.08
2020-06-18,122.98,1407041,117.82,123.3891,117.7075
2020-06-19,126.12,2569663,124.94,127.38,123.29
2020-06-22,127.39,1661426,125.74,129.32,125.12
2020-06-23,127.61,1543375,128.77,131.86,126.805
2020-06-24,112.25,3224376,126.0,127.26,111.81
2020-06-25,117.16,2666201,112.1,119.61,110.0601
2020-06-26,117.41,2187328,118.26,121.51,116.69
2020-06-29,120.37,1242018,118.33,121.69,115.23
2020-06-30,120.2,1134480,119.36,121.34,118.64
2020-07-01,125.38,1588759,119.59,126.99,119.38
2020-07-02,128.53,1722887,128.89,132.55,127.83
2020-07-06,134.44,1379107,133.354,137.72,133.25
