From merged_data,,,,,,,,,From SMCI,,,,,,,,,,,,,
Date,DPRIME,Close/Last,Volume,Open,High,Low,,,Date,Close/Last,Volume,Open,High,Low,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-01,3.25,33.72,397243,33.13,33.8,32.67,,,04/01/2015,$33.72 ,397243,$33.13 ,$33.80 ,$32.67 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-03-31,3.25,33.21,410072,33.96,34.03,33.17,,,03/31/2015,$33.21 ,410072,$33.96 ,$34.03 ,$33.17 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-03-30,3.25,34.11,375596,33.92,34.59,33.91,,,03/30/2015,$34.11 ,375596,$33.92 ,$34.59 ,$33.91 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-03-27,3.25,33.91,444820,33.04,34.12,33.04,,,03/27/2015,$33.91 ,444820,$33.04 ,$34.12 ,$33.04 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-03-26,3.25,33.2,850985,32.39,33.52,32.09,,,03/26/2015,$33.20 ,850985,$32.39 ,$33.52 ,$32.09 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-03-25,3.25,33.32,916736,35.36,35.527,33.25,,,03/25/2015,$33.32 ,916736,$35.36 ,$35.53 ,$33.25 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-03-24,3.25,35.36,672320,36.62,36.79,35.21,,,03/24/2015,$35.36 ,672320,$36.62 ,$36.79 ,$35.21 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-03-23,3.25,36.64,379854,37.16,37.54,36.6,,,03/23/2015,$36.64 ,379854,$37.16 ,$37.54 ,$36.60 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-03-20,3.25,37.16,527523,36.75,37.68,36.72,,,03/20/2015,$37.16 ,527523,$36.75 ,$37.68 ,$36.72 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-03-19,3.25,36.67,451882,35.24,36.75,35.2,,,03/19/2015,$36.67 ,451882,$35.24 ,$36.75 ,$35.20 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-03-18,3.25,35.42,665960,35.45,35.765,35.15,,,03/18/2015,$35.42 ,665960,$35.45 ,$35.77 ,$35.15 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-03-17,3.25,35.43,684110,36.25,36.26,35.01,,,03/17/2015,$35.43 ,684110,$36.25 ,$36.26 ,$35.01 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-03-16,3.25,36.39,479173,36.06,37.09,36.06,,,03/16/2015,$36.39 ,479173,$36.06 ,$37.09 ,$36.06 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-03-13,3.25,36.06,1069082,37.15,37.27,35.31,,,03/13/2015,$36.06 ,1069082,$37.15 ,$37.27 ,$35.31 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-03-12,3.25,37.31,580425,38.3,38.3668,36.76,,,03/12/2015,$37.31 ,580425,$38.30 ,$38.37 ,$36.76 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-03-11,3.25,38.18,365788,37.24,38.23,37.06,,,03/11/2015,$38.18 ,365788,$37.24 ,$38.23 ,$37.06 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-03-10,3.25,37.05,538439,37.75,37.9,36.72,,,03/10/2015,$37.05 ,538439,$37.75 ,$37.90 ,$36.72 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
