Date,Close/Last,Volume,Open,High,Low
2021-03-02,27.15,2375753,26.77,28.38,26.09
2021-03-03,27.65,1826794,27.63,28.67,26.815
2021-03-04,27.86,1832143,27.9,29.25,27.225
2021-03-05,29.7,1917364,28.24,29.96,28.07
2021-03-08,32.32,2950622,30.0,32.86,29.9
2021-03-09,32.23,1746135,32.46,33.695,32.11
2021-03-10,33.27,1309924,32.15,33.96,32.02
2021-03-11,33.1,1063349,33.41,33.66,32.61
2021-03-12,34.2,1228219,33.04,34.27,32.95
2021-03-15,36.19,1931937,34.2,36.34,34.11
2021-03-16,36.17,1558704,36.0,36.55,35.08
2021-03-17,36.88,1207904,36.01,37.089,35.609
2021-03-18,35.8,1502664,36.89,37.88,35.55
2021-03-19,35.9,2365024,35.75,35.99,34.61
2021-03-22,34.13,1440171,35.82,35.91,33.82
2021-03-23,31.78,1725495,33.89,34.37,31.51
2021-03-24,31.23,1424063,32.23,33.255,31.12
2021-03-25,32.86,1214347,30.47,33.05,30.24
2021-03-26,33.56,1026501,33.39,34.175,32.7
2021-03-29,33.14,1296951,33.09,33.96,32.88
2021-03-30,35.01,1364186,33.18,35.275,33.065
2021-03-31,34.31,1665918,34.77,35.37,34.3
2021-04-01,34.46,838622,34.66,35.0,33.84
2021-04-05,34.64,1474057,34.75,35.05,33.22
2021-04-06,35.17,968699,34.42,35.99,34.42
2021-04-07,37.71,2451416,37.14,37.9941,36.385
2021-04-08,37.31,1359356,37.79,37.79,36.3303
2021-04-09,38.7,2570583,37.55,40.08,37.18
2021-04-12,39.85,1579023,38.65,39.85,38.58
2021-04-13,38.71,1395467,39.71,39.79,37.88
2021-04-14,38.77,1228587,38.73,39.98,38.69
2021-04-15,39.83,2262978,39.95,41.08,39.2
2021-04-16,40.51,1178761,39.9,40.6,39.345
2021-04-19,39.73,1173292,40.17,40.4244,39.1838
2021-04-20,37.81,1347167,39.65,39.65,36.95
2021-04-21,38.72,793065,37.92,38.91,37.4
2021-04-22,38.97,809811,39.15,39.83,38.6
2021-04-23,39.48,845751,38.92,39.8,38.44
2021-04-26,37.85,1642341,39.5,39.83,37.15
2021-04-27,38.84,1059487,37.89,39.11,37.601
2021-04-28,38.82,749060,38.64,39.28,38.29
2021-04-29,37.7,1469607,39.0,39.23,37.26
2021-04-30,37.49,1060397,37.58,37.96,36.9504
2021-05-03,38.7,1703998,37.86,39.48,37.74
2021-05-04,38.34,1418381,38.5,38.555,37.35
2021-05-05,39.02,978553,38.54,39.36,38.18
2021-05-06,40.62,2814772,39.13,41.02,38.53
2021-05-07,40.75,831652,40.24,41.13,40.0
2021-05-10,40.78,2217422,41.01,42.3,40.64
2021-05-11,40.01,1414853,39.63,40.225,38.3
2021-05-12,38.05,1194420,39.98,40.19,37.73
2021-05-13,38.53,758525,38.19,39.39,37.61
2021-05-14,41.29,1951306,38.87,41.97,38.779
2021-05-17,42.81,1406614,41.18,42.91,41.04
2021-05-18,41.85,943119,43.5,43.6,41.55
2021-05-19,40.54,1191395,40.66,40.82,38.895
2021-05-20,37.41,3212670,40.75,40.91,36.66
2021-05-21,37.16,1599475,37.95,38.32,36.69
2021-05-24,37.64,1541472,37.28,38.15,36.82
2021-05-25,38.05,2857819,37.94,38.5,37.21
2021-05-26,41.02,6396162,40.75,43.899,40.45
